sn,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,class
6131,1078,1252,1478,1719,2433,2731,2918,2902,2867,2217, sehar
6132,1032,1274,1522,1751,2442,2758,2922,2930,2848,2214, sehar
6133,869,1086,1072,1263,2529,3043,3062,3163,1869,1270, sehar
6134,789,977,875,1135,2653,3257,3206,3320,1537,877, sehar
6135,1032,1274,1522,1751,2442,2758,2922,2930,2848,2214, sehar
6136,997,1268,1426,1732,2412,2707,2896,2945,2728,2138, sehar
6137,1116,1404,1634,1901,2429,2664,2996,2858,3101,2470, sehar
6138,1092,1368,1614,1901,2429,2664,2944,2858,3101,2470, sehar
6139,1019,1288,1506,1719,2433,2731,2946,2902,2867,2217, sehar
6140,1058,1278,1482,1719,2433,2731,2910,2902,2867,2217, sehar
6141,943,1138,1148,1350,2365,2820,2834,2900,1922,1383, sehar
6142,801,999,924,1214,2555,3099,3150,3237,1804,1135, sehar
6143,1078,1338,1570,1881,2451,2673,2990,2934,3141,2465, sehar
6144,994,1204,1362,1675,2405,2793,2900,2945,2572,1909, sehar
6145,1016,1232,1404,1732,2412,2707,2890,2945,2728,2138, sehar
6146,943,1138,1148,1350,2365,2820,2834,2900,1922,1383, sehar
6147,1019,1288,1506,1719,2433,2731,2946,2902,2867,2217, sehar
6148,1019,1288,1506,1719,2433,2731,2946,2902,2867,2217, sehar
6149,943,1138,1148,1350,2365,2820,2834,2900,1922,1383, sehar
6150,1092,1368,1614,1901,2429,2664,2944,2858,3101,2470, sehar
6151,1066,1320,1526,1717,2375,2629,2924,2797,2679,2142, sehar
6152,943,1138,1148,1350,2365,2820,2834,2900,1922,1383, sehar
6153,1058,1274,1470,1751,2442,2758,3010,2930,2848,2214, sehar
6154,899,1086,1088,1350,2365,2820,2940,2900,1922,1383, sehar
6155,1032,1274,1522,1751,2442,2758,2922,2930,2848,2214, sehar
6156,1054,1276,1392,1717,2375,2629,2800,2797,2679,2142, sehar
6157,1016,1206,1314,1675,2405,2793,2958,2945,2572,1909, sehar
6158,1036,1314,1454,1675,2405,2793,2978,2945,2572,1909, sehar
6159,1096,1336,1538,1849,2383,2626,2808,2817,2953,2309, sehar
6160,1116,1338,1606,1881,2451,2673,2964,2934,3141,2465, sehar
6161,1036,1314,1454,1675,2405,2793,2978,2945,2572,1909, sehar
6162,1030,1320,1516,1732,2412,2707,2950,2945,2728,2138, sehar
6163,1090,1322,1542,1849,2383,2626,2912,2817,2953,2309, sehar
6164,1016,1232,1404,1732,2412,2707,2890,2945,2728,2138, sehar
6165,835,1010,978,1214,2555,3099,3172,3237,1804,1135, sehar
6166,1016,1232,1404,1732,2412,2707,2890,2945,2728,2138, sehar
6167,997,1268,1426,1732,2412,2707,2896,2945,2728,2138, sehar
6168,1116,1338,1606,1881,2451,2673,2964,2934,3141,2465, sehar
6169,1058,1274,1510,1806,2411,2700,2918,2870,3039,2422, sehar
6170,1096,1336,1538,1849,2383,2626,2808,2817,2953,2309, sehar
6171,1078,1338,1570,1881,2451,2673,2990,2934,3141,2465, sehar
6172,1120,1344,1590,1849,2383,2626,2908,2817,2953,2309, sehar
6173,1058,1278,1482,1719,2433,2731,2910,2902,2867,2217, sehar
6174,1120,1344,1590,1849,2383,2626,2908,2817,2953,2309, sehar
6175,1036,1314,1454,1675,2405,2793,2978,2945,2572,1909, sehar
6176,1032,1274,1522,1751,2442,2758,2922,2930,2848,2214, sehar
6177,869,1086,1072,1263,2529,3043,3062,3163,1869,1270, sehar
6178,1058,1274,1470,1751,2442,2758,3010,2930,2848,2214, sehar
6179,1066,1312,1550,1806,2411,2700,2954,2870,3039,2422, sehar
6180,1066,1320,1526,1717,2375,2629,2924,2797,2679,2142, sehar
6181,1094,1330,1572,1849,2383,2626,2874,2817,2953,2309, sehar
6182,1066,1312,1550,1806,2411,2700,2954,2870,3039,2422, sehar
6183,1016,1206,1314,1675,2405,2793,2958,2945,2572,1909, sehar
6184,1120,1344,1590,1849,2383,2626,2908,2817,2953,2309, sehar
6185,1010,1268,1422,1717,2375,2629,2846,2797,2679,2142, sehar
6186,1054,1276,1392,1717,2375,2629,2800,2797,2679,2142, sehar
6187,1030,1320,1516,1732,2412,2707,2950,2945,2728,2138, sehar
6188,1058,1278,1482,1719,2433,2731,2910,2902,2867,2217, sehar
6189,1064,1312,1532,1732,2412,2707,2924,2945,2728,2138, sehar
6190,1036,1314,1454,1675,2405,2793,2978,2945,2572,1909, sehar
6191,1064,1312,1532,1732,2412,2707,2924,2945,2728,2138, sehar
6192,1058,1278,1482,1719,2433,2731,2910,2902,2867,2217, sehar
6193,1016,1232,1404,1732,2412,2707,2890,2945,2728,2138, sehar
6194,1078,1252,1478,1719,2433,2731,2918,2902,2867,2217, sehar
6195,1092,1368,1614,1901,2429,2664,2944,2858,3101,2470, sehar
6196,1092,1368,1614,1901,2429,2664,2944,2858,3101,2470, sehar
6197,1094,1330,1572,1849,2383,2626,2874,2817,2953,2309, sehar
6198,1096,1336,1538,1849,2383,2626,2808,2817,2953,2309, sehar
6199,1056,1310,1510,1717,2375,2629,2768,2797,2679,2142, sehar
6200,880,1044,1046,1263,2529,3043,3134,3163,1869,1270, sehar
6201,1090,1330,1568,1806,2411,2700,2910,2870,3039,2422, sehar
6202,1016,1206,1314,1675,2405,2793,2958,2945,2572,1909, sehar
6203,1030,1320,1516,1732,2412,2707,2950,2945,2728,2138, sehar
6204,1116,1338,1606,1881,2451,2673,2964,2934,3141,2465, sehar
6205,1090,1322,1542,1849,2383,2626,2912,2817,2953,2309, sehar
6206,1078,1338,1570,1881,2451,2673,2990,2934,3141,2465, sehar
6207,1090,1322,1542,1849,2383,2626,2912,2817,2953,2309, sehar
6208,1094,1330,1572,1849,2383,2626,2874,2817,2953,2309, sehar
6209,899,1086,1088,1350,2365,2820,2940,2900,1922,1383, sehar
6210,1054,1276,1392,1717,2375,2629,2800,2797,2679,2142, sehar
6211,542,701,695,864,2249,3051,3096,3188,1371,870, sehar
6212,621,815,836,909,1916,2377,2489,2594,1629,1260, sehar
6213,725,908,963,1098,1487,1710,1859,1711,1653,1516, sehar
6214,705,841,904,1122,1561,1763,1528,1816,1631,1414, sehar
6215,786,990,1176,1253,1583,1852,1954,1875,1935,1759, sehar
6216,719,895,940,1122,1736,2004,2250,2124,1575,1323, sehar
6217,566,752,706,909,2201,2921,2875,2971,1390,891, sehar
6218,776,957,1148,1253,1583,1852,1815,1875,1935,1759, sehar
6219,757,872,976,1075,1333,1395,1634,1526,1710,1667, sehar
6220,550,662,656,814,2183,2776,2889,2987,1377,887, sehar
6221,705,841,904,1122,1561,1763,1528,1816,1631,1414, sehar
6222,682,851,957,1109,1581,1764,1570,1831,1691,1453, sehar
6223,611,782,791,946,2110,2712,2721,2864,1475,1020, sehar
6224,465,645,601,756,2270,3099,3045,3158,1272,725, sehar
6225,682,851,957,1109,1581,1764,1570,1831,1691,1453, sehar
6226,719,882,954,1098,1487,1710,1854,1711,1653,1516, sehar
